NodeSet := data { n1 .. n52 };

Composite table:
   i       j         ArcFixedCost
   n5      n4              26
   n4      n6              17
   n6      n4              17
   n4      n7             257
   n7      n4             257
   n4      n8             131
   n8      n4             131
   n4      n9             153
   n9      n4             153
   n4      n10            133
   n10     n4             133
   n4      n11            166
   n11     n4             166
   n4      n12             74
   n12     n4              74
   n4      n13            178
   n13     n4             178
   n4      n14            224
   n14     n4             224
   n4      n15             25
   n15     n4              25
   n4      n16             96
   n16     n4              96
   n4      n17            200
   n17     n4             200
   n4      n18            133
   n18     n4             133
   n4      n19            119
   n19     n4             119
   n4      n20            125
   n20     n4             125
   n4      n21            170
   n21     n4             170
   n4      n22            109
   n22     n4             109
   n4      n23            134
   n23     n4             134
   n4      n24             31
   n24     n4              31
   n4      n25             27
   n25     n4              27
   n4      n26            129
   n26     n4             129
   n4      n27            132
   n27     n4             132
   n4      n28            104
   n28     n4             104
   n4      n29            145
   n29     n4             145
   n4      n30            172
   n30     n4             172
   n4      n31            135
   n31     n4             135
   n4      n32             93
   n32     n4              93
   n4      n33            129
   n33     n4             129
   n4      n34             67
   n34     n4              67
   n4      n35             69
   n35     n4              69
   n4      n36             68
   n36     n4              68
   n4      n37             48
   n37     n4              48
   n4      n38             39
   n38     n4              39
   n4      n39             58
   n39     n4              58
   n4      n40             47
   n40     n4              47
   n4      n41            136
   n41     n4             136
   n4      n42            238
   n42     n4             238
   n4      n43             61
   n43     n4              61
   n4      n44             77
   n44     n4              77
   n4      n45            103
   n45     n4             103
   n4      n46             58
   n46     n4              58
   n4      n47            165
   n47     n4             165
   n4      n48             34
   n48     n4              34
   n4      n49             86
   n49     n4              86
   n4      n50            119
   n50     n4             119
   n4      n51             99
   n51     n4              99
   n4      n52            227
   n52     n4             227
   n5      n6               9
   n6      n5               9
   n5      n7             231
   n7      n5             231
   n5      n8             118
   n8      n5             118
   n5      n9             146
   n9      n5             146
   n5      n10            128
   n10     n5             128
   n5      n11            190
   n11     n5             190
   n5      n12             96
   n12     n5              96
   n5      n13            192
   n13     n5             192
   n5      n14            236
   n14     n5             236
   n5      n15              6
   n15     n5               6
   n5      n16             77
   n16     n5              77
   n5      n17            175
   n17     n5             175
   n5      n18            108
   n18     n5             108
   n5      n19            100
   n19     n5             100
   n5      n20            102
   n20     n5             102
   n5      n21            144
   n21     n5             144
   n5      n22             83
   n22     n5              83
   n5      n23            109
   n23     n5             109
   n5      n24              8
   n24     n5               8
   n5      n25             38
   n25     n5              38
   n5      n26            138
   n26     n5             138
   n5      n27            146
   n27     n5             146
   n5      n28            120
   n28     n5             120
   n5      n29            127
   n29     n5             127
   n5      n30            149
   n30     n5             149
   n5      n31            109
   n31     n5             109
   n5      n32             68
   n32     n5              68
   n5      n33            147
   n33     n5             147
   n5      n34             41
   n34     n5              41
   n5      n35             43
   n35     n5              43
   n5      n36             42
   n36     n5              42
   n5      n37             22
   n37     n5              22
   n5      n38             13
   n38     n5              13
   n5      n39             32
   n39     n5              32
   n5      n40             21
   n40     n5              21
   n5      n41            120
   n41     n5             120
   n5      n42            212
   n42     n5             212
   n5      n43             67
   n43     n5              67
   n5      n44             53
   n44     n5              53
   n5      n45             83
   n45     n5              83
   n5      n46             43
   n46     n5              43
   n5      n47            168
   n47     n5             168
   n5      n48             12
   n48     n5              12
   n5      n49             60
   n49     n5              60
   n5      n50             97
   n50     n5              97
   n5      n51            125
   n51     n5             125
   n5      n52            246
   n52     n5             246
   n6      n7             239
   n7      n6             239
   n6      n8             123
   n8      n6             123
   n6      n9             149
   n9      n6             149
   n6      n10            131
   n10     n6             131
   n6      n11            182
   n11     n6             182
   n6      n12             87
   n12     n6              87
   n6      n13            186
   n13     n6             186
   n6      n14            231
   n14     n6             231
   n6      n15             10
   n15     n6              10
   n6      n16             82
   n16     n6              82
   n6      n17            184
   n17     n6             184
   n6      n18            116
   n18     n6             116
   n6      n19            107
   n19     n6             107
   n6      n20            109
   n20     n6             109
   n6      n21            153
   n21     n6             153
   n6      n22             92
   n22     n6              92
   n6      n23            117
   n23     n6             117
   n6      n24             14
   n24     n6              14
   n6      n25             31
   n25     n6              31
   n6      n26            133
   n26     n6             133
   n6      n27            140
   n27     n6             140
   n6      n28            113
   n28     n6             113
   n6      n29            132
   n29     n6             132
   n6      n30            156
   n30     n6             156
   n6      n31            118
   n31     n6             118
   n6      n32             76
   n32     n6              76
   n6      n33            142
   n33     n6             142
   n6      n34             49
   n34     n6              49
   n6      n35             51
   n35     n6              51
   n6      n36             50
   n36     n6              50
   n6      n37             30
   n37     n6              30
   n6      n38             22
   n38     n6              22
   n6      n39             40
   n39     n6              40
   n6      n40             30
   n40     n6              30
   n6      n41            126
   n41     n6             126
   n6      n42            220
   n42     n6             220
   n6      n43             65
   n43     n6              65
   n6      n44             60
   n44     n6              60
   n6      n45             90
   n45     n6              90
   n6      n46             46
   n46     n6              46
   n6      n47            165
   n47     n6             165
   n6      n48             18
   n48     n6              18
   n6      n49             69
   n49     n6              69
   n6      n50            103
   n50     n6             103
   n6      n51            116
   n51     n6             116
   n6      n52            239
   n52     n6             239
   n7      n8             230
   n8      n7             230
   n7      n9             274
   n9      n7             274
   n7      n10            274
   n10     n7             274
   n7      n11            407
   n11     n7             407
   n7      n12            311
   n12     n7             311
   n7      n13            360
   n13     n7             360
   n7      n14            380
   n14     n7             380
   n7      n15            234
   n15     n7             234
   n7      n16            178
   n16     n7             178
   n7      n17            113
   n17     n7             113
   n7      n18            141
   n18     n7             141
   n7      n19            202
   n19     n7             202
   n7      n20            138
   n20     n7             138
   n7      n21             90
   n21     n7              90
   n7      n22            152
   n22     n7             152
   n7      n23            123
   n23     n7             123
   n7      n24            225
   n24     n7             225
   n7      n25            253
   n25     n7             253
   n7      n26            298
   n26     n7             298
   n7      n27            324
   n27     n7             324
   n7      n28            309
   n28     n7             309
   n7      n29            159
   n29     n7             159
   n7      n30             96
   n30     n7              96
   n7      n31            128
   n31     n7             128
   n7      n32            175
   n32     n7             175
   n7      n33            365
   n33     n7             365
   n7      n34            190
   n34     n7             190
   n7      n35            189
   n35     n7             189
   n7      n36            190
   n36     n7             190
   n7      n37            209
   n37     n7             209
   n7      n38            219
   n38     n7             219
   n7      n39            201
   n39     n7             201
   n7      n40            212
   n40     n7             212
   n7      n41            214
   n41     n7             214
   n7      n42             19
   n42     n7              19
   n7      n43            274
   n43     n7             274
   n7      n44            182
   n44     n7             182
   n7      n45            197
   n45     n7             197
   n7      n46            211
   n46     n7             211
   n7      n47            289
   n47     n7             289
   n7      n48            223
   n48     n7             223
   n7      n49            175
   n49     n7             175
   n7      n50            146
   n50     n7             146
   n7      n51            351
   n51     n7             351
   n7      n52            429
   n52     n7             429
   n8      n9              46
   n9      n8              46
   n8      n10             45
   n10     n8              45
   n8      n11            286
   n11     n8             286
   n8      n12            203
   n12     n8             203
   n8      n13            309
   n13     n8             309
   n8      n14            354
   n14     n8             354
   n8      n15            113
   n15     n8             113
   n8      n16            165
   n16     n8             165
   n8      n17            127
   n17     n8             127
   n8      n18             95
   n18     n8              95
   n8      n19             31
   n19     n8              31
   n8      n20            159
   n20     n8             159
   n8      n21            145
   n21     n8             145
   n8      n22            104
   n22     n8             104
   n8      n23            147
   n23     n8             147
   n8      n24            122
   n24     n8             122
   n8      n25            154
   n25     n8             154
   n8      n26            256
   n26     n8             256
   n8      n27            262
   n27     n8             262
   n8      n28            235
   n28     n8             235
   n8      n29            208
   n29     n8             208
   n8      n30            190
   n30     n8             190
   n8      n31            114
   n31     n8             114
   n8      n32             85
   n32     n8              85
   n8      n33            161
   n33     n8             161
   n8      n34            114
   n34     n8             114
   n8      n35            109
   n35     n8             109
   n8      n36            105
   n36     n8             105
   n8      n37            115
   n37     n8             115
   n8      n38            112
   n38     n8             112
   n8      n39            103
   n39     n8             103
   n8      n40            105
   n40     n8             105
   n8      n41             16
   n41     n8              16
   n8      n42            214
   n42     n8             214
   n8      n43             90
   n43     n8              90
   n8      n44            132
   n44     n8             132
   n8      n45             47
   n45     n8              47
   n8      n46            150
   n46     n8             150
   n8      n47            284
   n47     n8             284
   n8      n48            124
   n48     n8             124
   n8      n49             96
   n49     n8              96
   n8      n50            161
   n50     n8             161
   n8      n51            215
   n51     n8             215
   n8      n52            358
   n52     n8             358
   n9      n10             21
   n10     n9              21
   n9      n11            291
   n11     n9             291
   n9      n12            218
   n12     n9             218
   n9      n13            329
   n13     n9             329
   n9      n14            377
   n14     n9             377
   n9      n15            140
   n15     n9             140
   n9      n16            204
   n16     n9             204
   n9      n17            168
   n17     n9             168
   n9      n18            141
   n18     n9             141
   n9      n19             77
   n19     n9              77
   n9      n20            203
   n20     n9             203
   n9      n21            191
   n21     n9             191
   n9      n22            148
   n22     n9             148
   n9      n23            192
   n23     n9             192
   n9      n24            152
   n24     n9             152
   n9      n25            179
   n25     n9             179
   n9      n26            282
   n26     n9             282
   n9      n27            284
   n27     n9             284
   n9      n28            256
   n28     n9             256
   n9      n29            250
   n29     n9             250
   n9      n30            235
   n30     n9             235
   n9      n31            160
   n31     n9             160
   n9      n32            128
   n32     n9             128
   n9      n33            143
   n33     n9             143
   n9      n34            152
   n34     n9             152
   n9      n35            147
   n35     n9             147
   n9      n36            144
   n36     n9             144
   n9      n37            149
   n37     n9             149
   n9      n38            143
   n38     n9             143
   n9      n39            139
   n39     n9             139
   n9      n40            139
   n40     n9             139
   n9      n41             60
   n41     n9              60
   n9      n42            259
   n42     n9             259
   n9      n43             97
   n43     n9              97
   n9      n44            171
   n44     n9             171
   n9      n45             90
   n45     n9              90
   n9      n46            183
   n46     n9             183
   n9      n47            314
   n47     n9             314
   n9      n48            154
   n48     n9             154
   n9      n49            138
   n49     n9             138
   n9      n50            204
   n50     n9             204
   n9      n51            221
   n51     n9             221
   n9      n52            372
   n52     n9             372
   n10     n11            271
   n11     n10            271
   n10     n12            198
   n12     n10            198
   n10     n13            309
   n13     n10            309
   n10     n14            357
   n14     n10            357
   n10     n15            123
   n15     n10            123
   n10     n16            191
   n16     n10            191
   n10     n17            172
   n17     n10            172
   n10     n18            137
   n18     n10            137
   n10     n19             73
   n19     n10             73
   n10     n20            193
   n20     n10            193
   n10     n21            188
   n21     n10            188
   n10     n22            140
   n22     n10            140
   n10     n23            184
   n23     n10            184
   n10     n24            134
   n24     n10            134
   n10     n25            160
   n25     n10            160
   n10     n26            262
   n26     n10            262
   n10     n27            264
   n27     n10            264
   n10     n28            236
   n28     n10            236
   n10     n29            238
   n29     n10            238
   n10     n30            228
   n30     n10            228
   n10     n31            155
   n31     n10            155
   n10     n32            118
   n32     n10            118
   n10     n33            125
   n33     n10            125
   n10     n34            138
   n34     n10            138
   n10     n35            134
   n35     n10            134
   n10     n36            130
   n36     n10            130
   n10     n37            133
   n37     n10            133
   n10     n38            127
   n38     n10            127
   n10     n39            125
   n39     n10            125
   n10     n40            123
   n40     n10            123
   n10     n41             61
   n41     n10             61
   n10     n42            258
   n42     n10            258
   n10     n43             77
   n43     n10             77
   n10     n44            158
   n44     n10            158
   n10     n45             82
   n45     n10             82
   n10     n46            167
   n46     n10            167
   n10     n47            296
   n47     n10            296
   n10     n48            138
   n48     n10            138
   n10     n49            127
   n49     n10            127
   n10     n50            193
   n50     n10            193
   n10     n51            200
   n51     n10            200
   n10     n52            351
   n52     n10            351
   n11     n12             97
   n12     n11             97
   n11     n13            111
   n13     n11            111
   n11     n14            155
   n14     n11            155
   n11     n15            191
   n15     n11            191
   n11     n16            229
   n16     n11            229
   n11     n17            365
   n17     n11            365
   n11     n18            298
   n18     n11            298
   n11     n19            281
   n19     n11            281
   n11     n20            269
   n20     n11            269
   n11     n21            329
   n21     n11            329
   n11     n22            271
   n22     n11            271
   n11     n23            286
   n23     n11            286
   n11     n24            193
   n24     n11            193
   n11     n25            158
   n25     n11            158
   n11     n26            135
   n26     n11            135
   n11     n27            104
   n27     n11            104
   n11     n28            104
   n28     n11            104
   n11     n29            261
   n29     n11            261
   n11     n30            313
   n30     n11            313
   n11     n31            297
   n31     n11            297
   n11     n32            258
   n32     n11            258
   n11     n33            177
   n33     n11            177
   n11     n34            226
   n34     n11            226
   n11     n35            230
   n35     n11            230
   n11     n36            230
   n36     n11            230
   n11     n37            209
   n37     n11            209
   n11     n38            203
   n38     n11            203
   n11     n39            221
   n39     n11            221
   n11     n40            211
   n40     n11            211
   n11     n41            295
   n41     n11            295
   n11     n42            388
   n42     n11            388
   n11     n43            197
   n43     n11            197
   n11     n44            228
   n44     n11            228
   n11     n45            267
   n45     n11            267
   n11     n46            197
   n46     n11            197
   n11     n47            176
   n47     n11            176
   n11     n48            194
   n48     n11            194
   n11     n49            250
   n49     n11            250
   n11     n50            261
   n50     n11            261
   n11     n51             71
   n51     n11             71
   n11     n52            100
   n52     n11            100
   n12     n13            113
   n13     n12            113
   n12     n14            163
   n14     n12            163
   n12     n15             97
   n15     n12             97
   n12     n16            134
   n16     n12            134
   n12     n17            270
   n17     n12            270
   n12     n18            202
   n18     n12            202
   n12     n19            192
   n19     n12            192
   n12     n20            174
   n20     n12            174
   n12     n21            232
   n21     n12            232
   n12     n22            175
   n22     n12            175
   n12     n23            190
   n23     n12            190
   n12     n24             97
   n24     n12             97
   n12     n25             61
   n25     n12             61
   n12     n26             84
   n26     n12             84
   n12     n27             71
   n27     n12             71
   n12     n28             46
   n28     n12             46
   n12     n29            172
   n29     n12            172
   n12     n30            219
   n30     n12            219
   n12     n31            200
   n31     n12            200
   n12     n32            163
   n32     n12            163
   n12     n33            146
   n33     n12            146
   n12     n34            130
   n34     n12            130
   n12     n35            134
   n35     n12            134
   n12     n36            134
   n36     n12            134
   n12     n37            113
   n37     n12            113
   n12     n38            107
   n38     n12            107
   n12     n39            126
   n39     n12            126
   n12     n40            116
   n40     n12            116
   n12     n41            209
   n41     n12            209
   n12     n42            292
   n42     n12            292
   n12     n43            121
   n43     n12            121
   n12     n44            132
   n44     n12            132
   n12     n45            176
   n45     n12            176
   n12     n46            100
   n46     n12            100
   n12     n47            129
   n47     n12            129
   n12     n48             98
   n48     n12             98
   n12     n49            154
   n49     n12            154
   n12     n50            166
   n50     n12            166
   n12     n51             47
   n51     n12             47
   n12     n52            155
   n52     n12            155
   n13     n14             51
   n14     n13             51
   n13     n15            196
   n15     n13            196
   n13     n16            190
   n16     n13            190
   n13     n17            350
   n17     n13            350
   n13     n18            284
   n18     n13            284
   n13     n19            292
   n19     n13            292
   n13     n20            230
   n20     n13            230
   n13     n21            299
   n21     n13            299
   n13     n22            255
   n22     n13            255
   n13     n23            252
   n23     n13            252
   n13     n24            190
   n24     n13            190
   n13     n25            155
   n25     n13            155
   n13     n26             64
   n26     n13             64
   n13     n27             46
   n27     n13             46
   n13     n28             73
   n28     n13             73
   n13     n29            201
   n29     n13            201
   n13     n30            264
   n30     n13            264
   n13     n31            276
   n31     n13            276
   n13     n32            251
   n32     n13            251
   n13     n33            253
   n33     n13            253
   n13     n34            214
   n34     n13            214
   n13     n35            219
   n35     n13            219
   n13     n36            220
   n36     n13            220
   n13     n37            202
   n37     n13            202
   n13     n38            201
   n38     n13            201
   n13     n39            216
   n39     n13            216
   n13     n40            209
   n40     n13            209
   n13     n41            312
   n41     n13            312
   n13     n42            343
   n42     n13            343
   n13     n43            233
   n43     n13            233
   n13     n44            205
   n44     n13            205
   n13     n45            275
   n45     n13            275
   n13     n46            174
   n46     n13            174
   n13     n47             81
   n47     n13             81
   n13     n48            189
   n48     n13            189
   n13     n49            240
   n49     n13            240
   n13     n50            221
   n50     n13            221
   n13     n51            135
   n51     n13            135
   n13     n52             70
   n52     n13             70
   n14     n15            240
   n15     n14            240
   n14     n16            221
   n16     n14            221
   n14     n17            384
   n17     n14            384
   n14     n18            320
   n18     n14            320
   n14     n19            335
   n19     n14            335
   n14     n20            259
   n20     n14            259
   n14     n21            328
   n21     n14            328
   n14     n22            291
   n22     n14            291
   n14     n23            282
   n23     n14            282
   n14     n24            233
   n24     n14            233
   n14     n25            200
   n25     n14            200
   n14     n26             99
   n26     n14             99
   n14     n27             94
   n27     n14             94
   n14     n28            121
   n28     n14            121
   n14     n29            222
   n29     n14            222
   n14     n30            287
   n30     n14            287
   n14     n31            310
   n31     n14            310
   n14     n32            290
   n32     n14            290
   n14     n33            304
   n33     n14            304
   n14     n34            252
   n34     n14            252
   n14     n35            258
   n35     n14            258
   n14     n36            260
   n36     n14            260
   n14     n37            243
   n37     n14            243
   n14     n38            244
   n38     n14            244
   n14     n39            257
   n39     n14            257
   n14     n40            251
   n40     n14            251
   n14     n41            356
   n41     n14            356
   n14     n42            364
   n42     n14            364
   n14     n43            281
   n43     n14            281
   n14     n44            242
   n44     n14            242
   n14     n45            317
   n45     n14            317
   n14     n46            212
   n46     n14            212
   n14     n47             91
   n47     n14             91
   n14     n48            231
   n48     n14            231
   n14     n49            278
   n49     n14            278
   n14     n50            250
   n50     n14            250
   n14     n51            186
   n51     n14            186
   n14     n52             80
   n52     n14             80
   n15     n16             83
   n16     n15             83
   n15     n17            175
   n17     n15            175
   n15     n18            108
   n18     n15            108
   n15     n19             97
   n19     n15             97
   n15     n20            106
   n20     n15            106
   n15     n21            146
   n21     n15            146
   n15     n22             85
   n22     n15             85
   n15     n23            113
   n23     n15            113
   n15     n24             14
   n24     n15             14
   n15     n25             41
   n25     n15             41
   n15     n26            143
   n26     n15            143
   n15     n27            150
   n27     n15            150
   n15     n28            123
   n28     n15            123
   n15     n29            133
   n29     n15            133
   n15     n30            153
   n30     n15            153
   n15     n31            111
   n31     n15            111
   n15     n32             68
   n32     n15             68
   n15     n33            142
   n33     n15            142
   n15     n34             44
   n34     n15             44
   n15     n35             45
   n35     n15             45
   n15     n36             44
   n36     n15             44
   n15     n37             26
   n37     n15             26
   n15     n38             15
   n38     n15             15
   n15     n39             33
   n39     n15             33
   n15     n40             23
   n40     n15             23
   n15     n41            116
   n41     n15            116
   n15     n42            215
   n42     n15            215
   n15     n43             60
   n43     n15             60
   n15     n44             58
   n44     n15             58
   n15     n45             80
   n45     n15             80
   n15     n46             49
   n46     n15             49
   n15     n47            174
   n47     n15            174
   n15     n48             18
   n48     n15             18
   n15     n49             62
   n49     n15             62
   n15     n50            102
   n50     n15            102
   n15     n51            124
   n51     n15            124
   n15     n52            249
   n52     n15            249
   n16     n17            163
   n17     n16            163
   n16     n18            102
   n18     n16            102
   n16     n19            137
   n19     n16            137
   n16     n20             41
   n20     n16             41
   n16     n21            109
   n21     n16            109
   n16     n22             74
   n22     n16             74
   n16     n23             62
   n23     n16             62
   n16     n24             69
   n24     n16             69
   n16     n25             82
   n25     n16             82
   n16     n26            126
   n26     n16            126
   n16     n27            149
   n27     n16            149
   n16     n28            131
   n28     n16            131
   n16     n29             50
   n29     n16             50
   n16     n30             84
   n30     n16             84
   n16     n31             89
   n31     n16             89
   n16     n32             83
   n32     n16             83
   n16     n33            224
   n33     n16            224
   n16     n34             53
   n34     n16             53
   n16     n35             57
   n35     n16             57
   n16     n36             61
   n36     n16             61
   n16     n37             61
   n37     n16             61
   n16     n38             71
   n38     n16             71
   n16     n39             66
   n39     n16             66
   n16     n40             71
   n40     n16             71
   n16     n41            160
   n41     n16            160
   n16     n42            160
   n42     n16            160
   n16     n43            143
   n43     n16            143
   n16     n44             33
   n44     n16             33
   n16     n45            119
   n45     n16            119
   n16     n46             39
   n46     n16             39
   n16     n47            135
   n47     n16            135
   n16     n48             65
   n48     n16             65
   n16     n49             70
   n49     n16             70
   n16     n50             33
   n50     n16             33
   n16     n51            178
   n51     n16            178
   n16     n52            256
   n52     n16            256
   n17     n18             68
   n18     n17             68
   n17     n19            105
   n19     n17            105
   n17     n20            128
   n20     n17            128
   n17     n21             63
   n21     n17             63
   n17     n22             96
   n22     n17             96
   n17     n23            105
   n23     n17            105
   n17     n24            173
   n24     n17            173
   n17     n25            209
   n25     n17            209
   n17     n26            287
   n26     n17            287
   n17     n27            307
   n27     n17            307
   n17     n28            284
   n28     n17            284
   n17     n29            177
   n29     n17            177
   n17     n30            123
   n30     n17            123
   n17     n31             74
   n31     n17             74
   n17     n32            108
   n32     n17            108
   n17     n33            280
   n33     n17            280
   n17     n34            140
   n34     n17            140
   n17     n35            136
   n35     n17            136
   n17     n36            136
   n36     n17            136
   n17     n37            157
   n37     n17            157
   n17     n38            163
   n38     n17            163
   n17     n39            144
   n39     n17            144
   n17     n40            154
   n40     n17            154
   n17     n41            111
   n41     n17            111
   n17     n42            102
   n42     n17            102
   n17     n43            193
   n43     n17            193
   n17     n44            145
   n44     n17            145
   n17     n45            109
   n45     n17            109
   n17     n46            177
   n46     n17            177
   n17     n47            297
   n47     n17            297
   n17     n48            172
   n48     n17            172
   n17     n49            115
   n49     n17            115
   n17     n50            136
   n50     n17            136
   n17     n51            299
   n51     n17            299
   n17     n52            412
   n52     n17            412
   n18     n19             65
   n19     n18             65
   n18     n20             77
   n20     n18             77
   n18     n21             51
   n21     n18             51
   n18     n22             29
   n22     n18             29
   n18     n23             57
   n23     n18             57
   n18     n24            105
   n24     n18            105
   n18     n25            141
   n25     n18            141
   n18     n26            222
   n26     n18            222
   n18     n27            240
   n27     n18            240
   n18     n28            217
   n28     n18            217
   n18     n29            129
   n29     n18            129
   n18     n30             96
   n30     n18             96
   n18     n31             20
   n31     n18             20
   n18     n32             41
   n32     n18             41
   n18     n33            226
   n33     n18            226
   n18     n34             73
   n34     n18             73
   n18     n35             68
   n35     n18             68
   n18     n36             68
   n36     n18             68
   n18     n37             89
   n37     n18             89
   n18     n38             95
   n38     n18             95
   n18     n39             76
   n39     n18             76
   n18     n40             86
   n40     n18             86
   n18     n41             83
   n41     n18             83
   n18     n42            123
   n42     n18            123
   n18     n43            135
   n43     n18            135
   n18     n44             79
   n44     n18             79
   n18     n45             57
   n45     n18             57
   n18     n46            110
   n46     n18            110
   n18     n47            237
   n47     n18            237
   n18     n48            104
   n48     n18            104
   n18     n49             48
   n49     n18             48
   n18     n50             82
   n50     n18             82
   n18     n51            232
   n51     n18            232
   n18     n52            345
   n52     n18            345
   n19     n20            128
   n20     n19            128
   n19     n21            115
   n21     n19            115
   n19     n22             73
   n22     n19             73
   n19     n23            115
   n23     n19            115
   n19     n24            103
   n24     n19            103
   n19     n25            138
   n25     n19            138
   n19     n26            236
   n26     n19            236
   n19     n27            246
