NodeSet := data{ n1 .. n58  };

Composite table:
   i       j         ArcFixedCost
   n14     n7            5423
   n7      n15           6089
   n15     n7            6089
   n7      n16           3142
   n16     n7            3142
   n7      n17           4876
   n17     n7            4876
   n7      n18           5676
   n18     n7            5676
   n7      n19           5181
   n19     n7            5181
   n7      n20           6678
   n20     n7            6678
   n7      n21           4720
   n21     n7            4720
   n7      n22           4074
   n22     n7            4074
   n7      n23           5071
   n23     n7            5071
   n7      n24           5724
   n24     n7            5724
   n7      n25           6675
   n25     n7            6675
   n7      n26           5000
   n26     n7            5000
   n7      n27           4993
   n27     n7            4993
   n7      n28           5221
   n28     n7            5221
   n7      n29           4494
   n29     n7            4494
   n7      n30           6265
   n30     n7            6265
   n7      n31            785
   n31     n7             785
   n7      n32           6776
   n32     n7            6776
   n7      n33           5265
   n33     n7            5265
   n7      n34           5756
   n34     n7            5756
   n7      n35           4628
   n35     n7            4628
   n7      n36           4747
   n36     n7            4747
   n7      n37           5511
   n37     n7            5511
   n7      n38           1686
   n38     n7            1686
   n7      n39           4276
   n39     n7            4276
   n7      n40           6472
   n40     n7            6472
   n7      n41           4447
   n41     n7            4447
   n7      n42           2230
   n42     n7            2230
   n7      n43           5167
   n43     n7            5167
   n7      n44           5784
   n44     n7            5784
   n7      n45           5561
   n45     n7            5561
   n7      n46           5891
   n46     n7            5891
   n7      n47           4902
   n47     n7            4902
   n7      n48           4353
   n48     n7            4353
   n7      n49           4922
   n49     n7            4922
   n7      n50           6480
   n50     n7            6480
   n7      n51           4759
   n51     n7            4759
   n7      n52           4771
   n52     n7            4771
   n7      n53           6044
   n53     n7            6044
   n7      n54           4299
   n54     n7            4299
   n7      n55           4199
   n55     n7            4199
   n7      n56           5830
   n56     n7            5830
   n7      n57           5271
   n57     n7            5271
   n7      n58           5404
   n58     n7            5404
   n8      n9            2296
   n9      n8            2296
   n8      n10            923
   n10     n8             923
   n8      n11           1175
   n11     n8            1175
   n8      n12           1282
   n12     n8            1282
   n8      n13           2162
   n13     n8            2162
   n8      n14           1906
   n14     n8            1906
   n8      n15           2559
   n15     n8            2559
   n8      n16           1133
   n16     n8            1133
   n8      n17           1352
   n17     n8            1352
   n8      n18           1422
   n18     n8            1422
   n8      n19           1651
   n19     n8            1651
   n8      n20           2423
   n20     n8            2423
   n8      n21           1588
   n21     n8            1588
   n8      n22            209
   n22     n8             209
   n8      n23           1030
   n23     n8            1030
   n8      n24           1461
   n24     n8            1461
   n8      n25           2420
   n25     n8            2420
   n8      n26           1538
   n26     n8            1538
   n8      n27            965
   n27     n8             965
   n8      n28           1716
   n28     n8            1716
   n8      n29           1112
   n29     n8            1112
   n8      n30           2010
   n30     n8            2010
   n8      n31           3482
   n31     n8            3482
   n8      n32           2521
   n32     n8            2521
   n8      n33           1839
   n33     n8            1839
   n8      n34           2288
   n34     n8            2288
   n8      n35           1000
   n35     n8            1000
   n8      n36           1289
   n36     n8            1289
   n8      n37           2039
   n37     n8            2039
   n8      n38           2551
   n38     n8            2551
   n8      n39            955
   n39     n8             955
   n8      n40           2217
   n40     n8            2217
   n8      n41            715
   n41     n8             715
   n8      n42           3125
   n42     n8            3125
   n8      n43           1145
   n43     n8            1145
   n8      n44           1529
   n44     n8            1529
   n8      n45           2131
   n45     n8            2131
   n8      n46           2466
   n46     n8            2466
   n8      n47           1087
   n47     n8            1087
   n8      n48            718
   n48     n8             718
   n8      n49           1083
   n49     n8            1083
   n8      n50           2225
   n50     n8            2225
   n8      n51           1015
   n51     n8            1015
   n8      n52            960
   n52     n8             960
   n8      n53           1789
   n53     n8            1789
   n8      n54            537
   n54     n8             537
   n8      n55            436
   n55     n8             436
   n8      n56           2400
   n56     n8            2400
   n8      n57           1238
   n57     n8            1238
   n8      n58           1199
   n58     n8            1199
   n9      n10           2869
   n10     n9            2869
   n9      n11           3459
   n11     n9            3459
   n9      n12           2366
   n12     n9            2366
   n9      n13            147
   n13     n9             147
   n9      n14           3741
   n14     n9            3741
   n9      n15           4399
   n15     n9            4399
   n9      n16           3417
   n16     n9            3417
   n9      n17           3163
   n17     n9            3163
   n9      n18            924
   n18     n9             924
   n9      n19           3462
   n19     n9            3462
   n9      n20            681
   n20     n9             681
   n9      n21           3734
   n21     n9            3734
   n9      n22           2493
   n22     n9            2493
   n9      n23           1934
   n23     n9            1934
   n9      n24           1377
   n24     n9            1377
   n9      n25            130
   n25     n9             130
   n9      n26           3402
   n26     n9            3402
   n9      n27           2449
   n27     n9            2449
   n9      n28           3531
   n28     n9            3531
   n9      n29           3219
   n29     n9            3219
   n9      n30            343
   n30     n9             343
   n9      n31           5766
   n31     n9            5766
   n9      n32            228
   n32     n9             228
   n9      n33           3724
   n33     n9            3724
   n9      n34           4128
   n34     n9            4128
   n9      n35           2883
   n35     n9            2883
   n9      n36           3277
   n36     n9            3277
   n9      n37           3870
   n37     n9            3870
   n9      n38           4835
   n38     n9            4835
   n9      n39           3214
   n39     n9            3214
   n9      n40            184
   n40     n9             184
   n9      n41           2746
   n41     n9            2746
   n9      n42           4875
   n42     n9            4875
   n9      n43           2492
   n43     n9            2492
   n9      n44            925
   n44     n9             925
   n9      n45           4017
   n45     n9            4017
   n9      n46           4362
   n46     n9            4362
   n9      n47           2985
   n47     n9            2985
   n9      n48           2973
   n48     n9            2973
   n9      n49           2831
   n49     n9            2831
   n9      n50           1544
   n50     n9            1544
   n9      n51           2913
   n51     n9            2913
   n9      n52           2891
   n52     n9            2891
   n9      n53           1103
   n53     n9            1103
   n9      n54           2717
   n54     n9            2717
   n9      n55           2655
   n55     n9            2655
   n9      n56           4504
   n56     n9            4504
   n9      n57           1972
   n57     n9            1972
   n9      n58           1447
   n58     n9            1447
   n10     n11           1004
   n11     n10           1004
   n10     n12            781
   n12     n10            781
   n10     n13           2793
   n13     n10           2793
   n10     n14           1036
   n14     n10           1036
   n10     n15           1694
   n15     n10           1694
   n10     n16           1694
   n16     n10           1694
   n10     n17            458
   n17     n10            458
   n10     n18           1844
   n18     n10           1844
   n10     n19            757
   n19     n10            757
   n10     n20           3125
   n20     n10           3125
   n10     n21           1096
   n21     n10           1096
   n10     n22            827
   n22     n10            827
   n10     n23            908
   n23     n10            908
   n10     n24           1702
   n24     n10           1702
   n10     n25           2773
   n25     n10           2773
   n10     n26            587
   n26     n10            587
   n10     n27            844
   n27     n10            844
   n10     n28            826
   n28     n10            826
   n10     n29            455
   n29     n10            455
   n10     n30           2453
   n30     n10           2453
   n10     n31           4041
   n31     n10           4041
   n10     n32           2945
   n32     n10           2945
   n10     n33           1019
   n33     n10           1019
   n10     n34           1423
   n34     n10           1423
   n10     n35             75
   n35     n10             75
   n10     n36            572
   n36     n10            572
   n10     n37           1165
   n37     n10           1165
   n10     n38           3140
   n38     n10           3140
   n10     n39            560
   n39     n10            560
   n10     n40           2658
   n40     n10           2658
   n10     n41            227
   n41     n10            227
   n10     n42           3674
   n42     n10           3674
   n10     n43            502
   n43     n10            502
   n10     n44           1944
   n44     n10           1944
   n10     n45           1312
   n45     n10           1312
   n10     n46           1650
   n46     n10           1650
   n10     n47            170
   n47     n10            170
   n10     n48            383
   n48     n10            383
   n10     n49            169
   n49     n10            169
   n10     n50           3136
   n50     n10           3136
   n10     n51             98
   n51     n10             98
   n10     n52             80
   n52     n10             80
   n10     n53           2700
   n53     n10           2700
   n10     n54            411
   n54     n10            411
   n10     n55            508
   n55     n10            508
   n10     n56           1584
   n56     n10           1584
   n10     n57            948
   n57     n10            948
   n10     n58           1435
   n58     n10           1435
   n11     n12           2128
   n12     n11           2128
   n11     n13           3322
   n13     n11           3322
   n11     n14           1609
   n14     n11           1609
   n11     n15           2266
   n15     n11           2266
   n11     n16            693
   n16     n11            693
   n11     n17           1041
   n17     n11           1041
   n11     n18           2585
   n18     n11           2585
   n11     n19           1353
   n19     n11           1353
   n11     n20           3586
   n20     n11           3586
   n11     n21            887
   n21     n11            887
   n11     n22            974
   n22     n11            974
   n11     n23           2553
   n23     n11           2553
   n11     n24           2624
   n24     n11           2624
   n11     n25           3583
   n25     n11           3583
   n11     n26           1177
   n26     n11           1177
   n11     n27           1488
   n27     n11           1488
   n11     n28           1398
   n28     n11           1398
   n11     n29            673
   n29     n11            673
   n11     n30           3173
   n30     n11           3173
   n11     n31           3045
   n31     n11           3045
   n11     n32           3684
   n32     n11           3684
   n11     n33           1444
   n33     n11           1444
   n11     n34           1935
   n34     n11           1935
   n11     n35            941
   n35     n11            941
   n11     n36            926
   n36     n11            926
   n11     n37           1686
   n37     n11           1686
   n11     n38           2149
   n38     n11           2149
   n11     n39            455
   n39     n11            455
   n11     n40           3380
   n40     n11           3380
   n11     n41            894
   n41     n11            894
   n11     n42           2688
   n42     n11           2688
   n11     n43           1433
   n43     n11           1433
   n11     n44           2692
   n44     n11           2692
   n11     n45           1740
   n45     n11           1740
   n11     n46           2070
   n46     n11           2070
   n11     n47           1081
   n47     n11           1081
   n11     n48            696
   n48     n11            696
   n11     n49           1101
   n49     n11           1101
   n11     n50           3388
   n50     n11           3388
   n11     n51           1009
   n51     n11           1009
   n11     n52            950
   n52     n11            950
   n11     n53           2952
   n53     n11           2952
   n11     n54           1063
   n54     n11           1063
   n11     n55            964
   n55     n11            964
   n11     n56           2009
   n56     n11           2009
   n11     n57           1972
   n57     n11           1972
   n11     n58           2286
   n58     n11           2286
   n12     n13           2265
   n13     n12           2265
   n12     n14           1695
   n14     n12           1695
   n12     n15           2353
   n15     n12           2353
   n12     n16           2819
   n16     n12           2819
   n12     n17           1117
   n17     n12           1117
   n12     n18           1557
   n18     n12           1557
   n12     n19           1416
   n19     n12           1416
   n12     n20           2636
   n20     n12           2636
   n12     n21           1755
   n21     n12           1755
   n12     n22           1608
   n22     n12           1608
   n12     n23            456
   n23     n12            456
   n12     n24           1002
   n24     n12           1002
   n12     n25           2245
   n25     n12           2245
   n12     n26           1246
   n26     n12           1246
   n12     n27            257
   n27     n12            257
   n12     n28           1485
   n28     n12           1485
   n12     n29           1225
   n29     n12           1225
   n12     n30           1925
   n30     n12           1925
   n12     n31           5166
   n31     n12           5166
   n12     n32           2417
   n32     n12           2417
   n12     n33           1678
   n33     n12           1678
   n12     n34           2082
   n34     n12           2082
   n12     n35            871
   n35     n12            871
   n12     n36           1231
   n36     n12           1231
   n12     n37           1824
   n37     n12           1824
   n12     n38           4265
   n38     n12           4265
   n12     n39           1290
   n39     n12           1290
   n12     n40           2130
   n40     n12           2130
   n12     n41           1019
   n41     n12           1019
   n12     n42           4799
   n42     n12           4799
   n12     n43            279
   n43     n12            279
   n12     n44           1441
   n44     n12           1441
   n12     n45           1971
   n45     n12           1971
   n12     n46           2309
   n46     n12           2309
   n12     n47            772
   n47     n12            772
   n12     n48           1148
   n48     n12           1148
   n12     n49            618
   n49     n12            618
   n12     n50           2844
   n50     n12           2844
   n12     n51            700
   n51     n12            700
   n12     n52            802
   n52     n12            802
   n12     n53           2413
   n53     n12           2413
   n12     n54           1188
   n54     n12           1188
   n12     n55           1248
   n55     n12           1248
   n12     n56           2243
   n56     n12           2243
   n12     n57            248
   n57     n12            248
   n12     n58           1210
   n58     n12           1210
   n13     n14           3607
   n14     n13           3607
   n13     n15           4265
   n15     n13           4265
   n13     n16           3283
   n16     n13           3283
   n13     n17           3029
   n17     n13           3029
   n13     n18            931
   n18     n13            931
   n13     n19           3328
   n19     n13           3328
   n13     n20            817
   n20     n13            817
   n13     n21           3600
   n21     n13           3600
   n13     n22           2359
   n22     n13           2359
   n13     n23           1876
   n23     n13           1876
   n13     n24           1267
   n24     n13           1267
   n13     n25            200
   n25     n13            200
   n13     n26           3158
   n26     n13           3158
   n13     n27           2339
   n27     n13           2339
   n13     n28           3397
   n28     n13           3397
   n13     n29           3120
   n29     n13           3120
   n13     n30            211
   n30     n13            211
   n13     n31           5632
   n31     n13           5632
   n13     n32            366
   n32     n13            366
   n13     n33           3590
   n33     n13           3590
   n13     n34           4004
   n34     n13           4004
   n13     n35           2766
   n35     n13           2766
   n13     n36           3134
   n36     n13           3134
   n13     n37           3736
   n37     n13           3736
   n13     n38           4701
   n38     n13           4701
   n13     n39           3185
   n39     n13           3185
   n13     n40            135
   n40     n13            135
   n13     n41           2914
   n41     n13           2914
   n13     n42           5274
   n42     n13           5274
   n13     n43           2267
   n43     n13           2267
   n13     n44            815
   n44     n13            815
   n13     n45           3883
   n45     n13           3883
   n13     n46           4221
   n46     n13           4221
   n13     n47           2667
   n47     n13           2667
   n13     n48           3043
   n48     n13           3043
   n13     n49           2606
   n49     n13           2606
   n13     n50           1451
   n50     n13           1451
   n13     n51           2595
   n51     n13           2595
   n13     n52           2697
   n52     n13           2697
   n13     n53           1011
   n53     n13           1011
   n13     n54           2563
   n54     n13           2563
   n13     n55           2623
   n55     n13           2623
   n13     n56           4155
   n56     n13           4155
   n13     n57           1834
   n57     n13           1834
   n13     n58           1337
   n58     n13           1337
   n14     n15            665
   n15     n14            665
   n14     n16           2300
   n16     n14           2300
   n14     n17            578
   n17     n14            578
   n14     n18           2845
   n18     n14           2845
   n14     n19            474
   n19     n14            474
   n14     n20           4116
   n20     n14           4116
   n14     n21           1216
   n21     n14           1216
   n14     n22           1705
   n22     n14           1705
   n14     n23           1901
   n23     n14           1901
   n14     n24           2693
   n24     n14           2693
   n14     n25           3848
   n25     n14           3848
   n14     n26            652
   n26     n14            652
   n14     n27           1480
   n27     n14           1480
   n14     n28            224
   n28     n14            224
   n14     n29            968
   n29     n14            968
   n14     n30           3547
   n30     n14           3547
   n14     n31           4648
   n31     n14           4648
   n14     n32           4020
   n32     n14           4020
   n14     n33            176
   n33     n14            176
   n14     n34            394
   n34     n14            394
   n14     n35           1153
   n35     n14           1153
   n14     n36            692
   n36     n14            692
   n14     n37            137
   n37     n14            137
   n14     n38           3752
   n38     n14           3752
   n14     n39           1169
   n39     n14           1169
   n14     n40           3744
   n40     n14           3744
   n14     n41           1301
   n41     n14           1301
   n14     n42           4291
   n42     n14           4291
   n14     n43           1420
   n43     n14           1420
   n14     n44           3047
   n44     n14           3047
   n14     n45            479
   n45     n14            479
   n14     n46            629
   n46     n14            629
   n14     n47           1059
   n47     n14           1059
   n14     n48           1249
   n48     n14           1249
   n14     n49           1079
   n49     n14           1079
   n14     n50           4119
   n50     n14           4119
   n14     n51            982
   n51     n14            982
   n14     n52            967
   n52     n14            967
   n14     n53           3683
   n53     n14           3683
   n14     n54           1424
   n54     n14           1424
   n14     n55           1421
   n55     n14           1421
   n14     n56            771
   n56     n14            771
   n14     n57           1939
   n57     n14           1939
   n14     n58           2901
   n58     n14           2901
   n15     n16           2957
   n16     n15           2957
   n15     n17           1236
   n17     n15           1236
   n15     n18           3706
   n18     n15           3706
   n15     n19            992
   n19     n15            992
   n15     n20           4774
   n20     n15           4774
   n15     n21           1471
   n21     n15           1471
   n15     n22           2358
